gender,city,state,zip,job,category,amt,is_fraud,age
F,Higganum,CT,6441,"Librarian, academic",shopping_pos,1.07,0,62
M,Mounds,OK,74047,Fitness centre manager,kids_pets,94.99,0,44
F,Browning,MO,64630,Cytogeneticist,kids_pets,31.28,0,72
M,Mounds,OK,74047,Fitness centre manager,gas_transport,73.06,0,44
F,Avoca,IA,51521,Engineering geologist,misc_net,9.99,0,55
M,Laredo,TX,78040,Video editor,personal_care,28.5,0,55
F,Hannawa Falls,NY,13647,Chief Executive Officer,shopping_pos,9.09,0,35
M,Corriganville,MD,21524,Energy engineer,health_fitness,1.64,0,66
F,Blooming Grove,TX,76626,Financial adviser,gas_transport,55.9,0,48
F,Sun City,CA,92585,"Designer, exhibition/display",kids_pets,50.61,0,54
M,Moores Hill,IN,47032,Sub,entertainment,2.35,0,57
M,Bristow,IN,47515,Horticultural therapist,misc_pos,35.91,0,44
M,Clarinda,IA,51632,IT trainer,personal_care,2.63,0,36
F,Knoxville,TN,37932,"Designer, industrial/product",food_dining,127.16,0,32
F,Sheffield,MA,1257,Radio producer,grocery_pos,125.11,0,53
F,Roma,TX,78584,IT trainer,home,168.65,0,36
M,Zavalla,TX,75980,"Designer, jewellery",grocery_net,66.36,0,41
F,Houston,TX,77007,"Copywriter, advertising",entertainment,91.11,0,42
F,Fenelton,PA,16034,Operations geologist,misc_net,42.21,0,63
F,Warren,OH,44483,Magazine features editor,grocery_pos,127.2,0,69
F,Iselin,NJ,8830,Emergency planning/management officer,shopping_net,5.22,0,97
M,Harrodsburg,IN,47434,Social researcher,grocery_pos,144.89,0,71
F,Kilgore,TX,75662,Multimedia programmer,shopping_pos,206.0,0,43
F,Laramie,WY,82072,"Pilot, airline",home,81.54,0,38
F,Leonard,TX,75452,Sub,health_fitness,34.34,0,49
F,New Ellenton,SC,29809,Biomedical scientist,gas_transport,58.25,0,40
F,Goodrich,MI,48438,Learning disability nurse,entertainment,113.8,0,41
M,Cross,SC,29436,Occupational hygienist,travel,4.38,0,53
F,Lagrange,WY,82221,Product/process development scientist,shopping_net,6.5,0,53
F,Fort Myers,FL,33967,Paramedic,personal_care,7.66,0,41
M,Crownpoint,NM,87313,IT consultant,shopping_pos,7.84,0,37
M,Port Costa,CA,94569,Armed forces training and education officer,personal_care,32.81,0,67
F,Tulsa,OK,74131,"Teacher, special educational needs",health_fitness,19.03,0,55
M,Freedom,WY,83120,"Education officer, museum",entertainment,19.85,0,59
F,Sterling City,TX,76951,"Scientist, biomedical",grocery_net,37.77,0,64
F,Esbon,KS,66941,Tourism officer,gas_transport,49.79,0,39
M,Sontag,MS,39665,"Librarian, academic",shopping_net,4.43,0,68
F,Indianapolis,IN,46254,Firefighter,kids_pets,80.19,0,51
M,Belgrade,MT,59714,"Engineer, drilling",gas_transport,74.68,0,51
M,Riverton,WY,82501,"Lecturer, higher education",travel,4.84,0,33
F,Saint Paul,MN,55128,Fisheries officer,shopping_net,4.49,0,55
F,Armagh,PA,15920,Early years teacher,gas_transport,66.76,0,54
F,Superior,AZ,85173,Petroleum engineer,misc_pos,21.86,0,39
F,Mobile,AL,36617,"Surveyor, land/geomatics",food_dining,45.02,0,54
F,Saint Amant,LA,70774,"Surveyor, rural practice",grocery_pos,248.24,0,49
M,Mount Hope,AL,35651,"Librarian, academic",health_fitness,53.31,0,71
M,Indianapolis,IN,46290,Academic librarian,misc_net,38.27,0,39
M,Dieterich,IL,62424,"Psychologist, clinical",home,27.59,0,64
F,New York City,NY,10280,"Pharmacist, hospital",gas_transport,100.04,0,65
M,Mesa,ID,83643,Cartographer,food_dining,62.49,0,61
M,Thida,AR,72165,Careers information officer,personal_care,64.41,0,26
M,Bowdoin,ME,4287,"Engineer, electronics",shopping_pos,2.74,0,29
M,Bolton,NC,28423,"Engineer, biomedical",health_fitness,11.29,0,81
F,Glen Rock,PA,17327,Insurance claims handler,kids_pets,61.91,0,74
F,Wilton,ND,58579,"Designer, ceramics/pottery",misc_net,141.36,0,78
F,Altona,NY,12910,"Surveyor, land/geomatics",travel,9.24,0,73
M,Saint James City,FL,33956,Sport and exercise psychologist,home,11.94,0,50
F,Phenix City,AL,36869,Chemical engineer,grocery_net,70.01,0,42
F,Morrisdale,PA,16858,Dispensing optician,health_fitness,90.05,0,39
F,Napa,CA,94558,Airline pilot,food_dining,130.43,0,41
F,Issaquah,WA,98027,Osteopath,shopping_pos,41.21,0,42
M,Mesa,ID,83643,Cartographer,health_fitness,50.42,0,61
M,Rock Tavern,NY,12575,Building surveyor,food_dining,57.01,0,89
F,Fordoche,LA,70732,Community education officer,home,152.31,0,75
M,Lane,OK,74555,Quantity surveyor,grocery_pos,125.27,0,66
F,Altair,TX,77412,"Editor, film/video",shopping_net,6.67,0,43
F,De Soto,KS,66018,Chief Executive Officer,food_dining,80.1,0,48
M,Marion,CT,6444,Health service manager,entertainment,10.07,0,64
F,Viola,AR,72583,Psychiatric nurse,grocery_pos,90.42,0,40
F,Hampton,VA,23666,Accounting technician,gas_transport,79.2,0,87
M,Pembroke,NC,28372,Hospital doctor,food_dining,21.94,0,71
F,Hahira,GA,31632,"Teacher, special educational needs",misc_net,18.95,0,29
M,Bristow,IN,47515,Horticultural therapist,grocery_pos,99.38,0,44
F,Dayton,OH,45415,Environmental manager,food_dining,13.54,0,56
F,Hawley,MN,56549,Naval architect,entertainment,32.65,0,77
F,Bay City,OR,97107,Colour technologist,grocery_net,61.17,0,40
F,Dallas,TX,75218,"Designer, ceramics/pottery",grocery_pos,183.01,0,51
M,Lake Jackson,TX,77566,Futures trader,grocery_pos,46.45,0,27
F,Duncan,MS,38740,Trading standards officer,home,226.97,0,71
F,Greendale,WI,53129,Logistics and distribution manager,travel,5.66,0,45
